id,sanskrit,translation,explanation,source,created_at
0039f4a8-babb-4f95-8cc5-43a2ce4c4690,महाभूतान्यहङ्कारो बुद्धिरव्यक्तमेव च,"The field of activities the body is composed of the five gross elements, the ego, intelligence, the unmanifested, the ten senses, the mind, and the sense objects",Components of the field (body),Bhagavad Gita 13.6,2025-04-10 22:26:46.332099+00
01bf6817-e4d4-4801-a8c2-1ddf399b9620,मिथ्याचारः स उच्यते सः पापी पापकृत्तमः।,"He is called a pretender, a wrongdoer, and a doer of the worst deeds.",Pretense leads to wrongdoing.,"Bhagavad Gita, Chapter 3, Verse 6",2025-04-10 22:15:16.896855+00
035b3046-0f5d-49ff-baa1-6ed1310b5b60,यथा नद्यः स्यन्दमानाः समुद्रेऽस्तं गच्छन्ति नामरूपे विहाय,"As rivers flowing into the ocean disappear, losing their name and form",Analogy of rivers merging into the ocean,Mundaka Upanishad,2025-04-10 22:09:19.073161+00
04177e44-619d-4554-8a00-9c908317a136,सर्वेन्द्रियगुणाभासं सर्वेन्द्रियविवर्जितम्,"The Supersoul appears to have all the senses, yet He is without senses",Paradoxical nature of the Supersoul,Bhagavad Gita 13.15,2025-04-10 22:26:46.332099+00
0445d60e-3e2b-458a-8a14-0fc45145d570,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत।,"Whenever there is a decline in righteousness, O Bharata, and a rise of unrighteousness, then I manifest Myself.",The divine descends to restore dharma and protect the virtuous.,"Bhagavad Gita, Chapter 4, Verse 7",2025-04-10 22:08:34.510657+00
058855a9-e9f3-41d7-80b3-f06e2f161387,मयि सर्वाणि कर्माणि सन्न्यस्याध्यात्मचेतसा।,"Perform all your activities, dedicating them to Me, with full knowledge of Me.",Dedicate all actions to the divine with full awareness.,"Bhagavad Gita, Chapter 3, Verse 30",2025-04-10 22:08:34.510657+00
05fee1ad-7cdd-4a44-a38b-41da1e668c55,यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सरः।,"He who is satisfied with gain which comes of its own accord, who is free from duality and does not envy, who is steady in both success and failure, is never entangled, although performing actions.",Contentment and freedom from envy are qualities of a realized soul.,"Bhagavad Gita, Chapter 4, Verse 22",2025-04-10 22:15:16.896855+00
07769b32-57b4-46a1-973e-a31ca7f14cb0,कुर्वन्नेवेह कर्माणि जिजीविषेत् समाः,"While performing works here, one may aspire to live for hundreds of years","Engage in selfless service for a long, meaningful life","Isha Upanishad, Verse 2",2025-04-10 22:08:57.339984+00
07a06e64-febe-4f06-be85-501295b77483,विकारांश्च गुणांश्चैव विद्धि प्रकृतिसम्भवान्,Their transformations and the modes of matter are products of material nature,Material nature as the source of transformations and modes,Bhagavad Gita 13.20,2025-04-10 22:26:46.332099+00
08740334-4d50-4701-a974-7e5fc2548e1d,कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन्।,One who restrains the senses of action but whose mind dwells on sense objects, such a person is deluded and is called a pretender.,Hypocrisy arises from controlling actions but dwelling on desires.,"Bhagavad Gita, Chapter 3, Verse 6",2025-04-10 22:08:34.510657+00
08f138cb-8dab-4374-9ea2-859e9a27c8c2,पृथिव्यप्तेजोवाय्वाकाशे समुत्थिते पञ्चात्मके योगे,"When the five elements earth, water, fire, air, and ether arise in the yoga",The elements are part of the yogic experience,Shvetashvatara Upanishad 2.12,2025-04-10 22:08:57.339984+00
09623bbe-3f7a-4ac9-bfa4-83c044fe834e,जन्ममृत्युजराव्याधिदुःखदोषानुदर्शनम्,"Perceiving the evil of birth, death, old age, disease and lamentation",Qualities conducive to knowledge,Bhagavad Gita 13.9,2025-04-10 22:26:46.332099+00
0a12c81b-4f89-48a6-9573-66185fb22bb2,अन्ये साङ्ख्येन योगेन कर्मयोगेन चापरे,"Some perceive the Supersoul within themselves through meditation, others through the cultivation of knowledge, and still others through working without desire for fruitive results",Different paths to realize the Supersoul,Bhagavad Gita 13.25,2025-04-10 22:26:46.332099+00
0b588ed3-cde1-422f-947d-bc554e829315,उद्धरेदात्मनाऽऽत्मानं नात्मानमवसादयेत्।,"One must deliver himself with the help of his mind, and not degrade himself.",Self-improvement is achieved through conscious effort and positive thinking.,"Bhagavad Gita, Chapter 6, Verse 5",2025-04-10 22:08:34.510657+00
